1;Gilbert Bécaud;Nathalie
2;Michel Fugain;Une belle histoire
3;Jacques Dutronc;Il est cinq heures Paris s’éveille
4;Les Poppys;Non non rien n’a changé
5;Edith Piaf;Non je ne regrette rien
6;Jacques Brel;Ne me quitte pas
7;Gérard Lenorman;La ballade des gens heureux
8;Françoise Hardy;Tous les garçons et les filles
9;Khaled;Aicha
10;Michel Sardou;Les lacs du Connemara
11;Michel Delpech;Pour un flirt
12;Yves Montand;La bicyclette
13;Alderliefste & Liesbeth List & Ramses Shaffy;Laat me/Vivre
14;Zaz;Je veux
15;Julien Clerc;This melody
16;Vicky Leandros;Après toi
17;Serge Gainsbourg & Jane Birkin;Je t’aime… moi non plus
18;Michel Fugain;Le printemps
19;Dalida;Buenas noches mi amor
20;France Gall;"Poupée de cire; poupée de son"
21;Jacques Brel;Amsterdam
22;Julien Clerc;Hélène
23;Plastic Bertrand;Ça plane pour moi
24;Jacques Brel;Le plat pays
25;Patrick Bruel;Casser la voix (live)
26;Alizée;Moi… Lolita
27;Jean Ferrat;La montagne
28;Johnny Hallyday;Pour moi la vie va commençer
29;Charles Trenet;La mer
30;Kate & Anne McGarrigle;Complainte pour Ste. Cathérine
31;Adamo;Vous permettez monsieur
32;France Gall;Ella elle l’a
33;Frida Boccara;Cent mille chansons
34;Dalida & Alain Delon;Paroles paroles
35;Dalida;Gigi l’amoroso
36;Charles Aznavour;La bohème
37;Georges Moustaki;Le métèque
38;Joe Dassin;Les Champs-Elysées
39;La Caravane Passe;Salad tomate oignon
40;Noir Désir;Le vent nous portera
41;In-grid;Tu es foutu
42;Vanessa Paradis;Joe le taxi
43;Julien Clerc;Venise
44;Gérard Lenorman;Voici les clés
45;Desireless;Voyage voyage
46;Edith Piaf;La vie en rose
47;Yves Montand;Les feuilles mortes
48;Wende;Chaque fois
49;Adamo;Tombe la neige
50;Joe Dassin;L’été Indien
51;Jacques Brel;Marieke
52;Gérard Lenorman;Si j’étais président
53;Grace Jones;La vie en rose
54;C. Jérôme;C’est moi
55;Stromae;Alors on danse
56;Charles Aznavour;La mamma
57;Julien Clerc;Çe n’est rien
58;Gilbert Bécaud;Et maintenant
59;Dave;Dansez maintenant
60;Julien Clerc;Si on chantait
61;Lucille Starr;Quand le soleil dit bonjour aux montagnes
62;Mort Shuman;Le lac majeur
63;Edith Piaf;Milord
64;Kate Ryan;Désenchantée
65;Adamo;C’est ma vie
66;Manau;La tribu de Dana
67;Sandra Kim;J’aime la vie
68;Charles Aznavour;Mes emmerdes
69;Yves Duteil;Prendre un enfant
70;BZN;Mon amour
71;Carla Bruni;Quelqu’un m’a dit
72;Adamo;Inch Allah
73;Lio;Amoureux solitaires
74;Georges Brassens;Brave Margot
75;Hughes Aufray;Adieu Monsieur le professeur
76;France Gall;Il jouait du piano debout
77;Catherine Ferry;1 2 3
78;Jacques Brel;Bruxelles
79;Julien Clerc;Ma préférence
80;Zouk Machine;Maldon
81;Zaz;Le long de la route
82;Dalida;J’attendrai
83;Les Poppys;Isabelle je t’aime
84;Patricia Kaas;Mademoiselle chante le blues
85;Anne-Marie David;Tu te reconnaitras
86;Edith Piaf;Sous le ciel de Paris
87;Indochine;J’ai demandé à la lune
88;Charles Aznavour;J’ai vu Paris
89;Françoise Hardy;Comment te dire adieu
90;Adamo;Les filles du bord de mer
91;Captain Gumbo;Allons à Lafayette
92;Camélia Jordana;Non non non
93;Ben l’Oncle Soul;(Je suis un) Soulman
94;Jo Lemaire & Flouze;Je suis venue te dire que je m’en vais
95;Elsa;T’en va pas
96;Michel Fugain;Ring et ding
97;Cast Roméo & Juliette;Les rois du monde
98;Michel Sardou;Une fille aux jeux clairs
99;Dave;Du côté de chez Swann
100;Christophe Maé;Dingue dingue dingue
